"Chromosome","GeneID","Gene_name","Position","P1","P2","P3","P4"
"1","XLOC_000955","CLIC6",123725,0,0,3,24
"1","XLOC_000320","RCAN1",362318,12,NA,36,NA
"1","XLOC_000320","RCAN1",362525,18,16,61,25
"1","XLOC_000960","FAM165B",463616,6,19,15,16
"1","XLOC_000960","FAM165B",466250,98,NA,67,NA
"1","XLOC_000960","FAM165B",466306,73,NA,97,NA
"1","XLOC_000960","FAM165B",472805,12,16,40,55
"1","XLOC_000960","FAM165B",473958,1,NA,NA,0
"1","XLOC_000960","FAM165B",473996,1,NA,3,1
"1","XLOC_000963","MRPS6",686950,1,NA,4,5
"1","XLOC_000963","MRPS6",686954,1,NA,3,7
"1","XLOC_000963","MRPS6",687363,2,4,6,0
"1","XLOC_000963","MRPS6",687602,3,2,4,7
"1","XLOC_000963","MRPS6",689562,5,0,5,3
"1","XLOC_000963","MRPS6",691981,0,0,2,1
"1","XLOC_000963","MRPS6",694174,0,1,0,1
"1","XLOC_000963","MRPS6",694354,1,NA,4,3
"1","XLOC_000963","MRPS6",695310,0,NA,NA,2
"1","XLOC_000963","MRPS6",695520,0,NA,0,2
"1","XLOC_000963","MRPS6",695949,2,1,1,3
"1","XLOC_000963","MRPS6",696062,1,2,0,5
"1","XLOC_000963","MRPS6",697419,0,3,1,5
"1","XLOC_000963","MRPS6",698886,1,NA,1,2
"1","XLOC_000963","MRPS6",700318,0,NA,NA,3
"1","XLOC_000963","MRPS6",700848,2,6,23,69
"1","XLOC_000963","MRPS6",700889,7,12,25,79
"1","XLOC_000963","MRPS6",701151,9,17,12,32
"1","XLOC_000963","MRPS6",701330,30,26,44,107
"1","XLOC_000963","MRPS6",701388,23,23,36,95
"1","XLOC_000963","MRPS6",702127,4,18,20,41
"1","XLOC_000963","MRPS6",702336,41,63,36,116
"1","XLOC_000963","MRPS6",702468,6,16,28,122
"1","XLOC_000963","MRPS6",703448,5,21,29,80
"1","XLOC_000963","MRPS6",703970,11,19,37,73
"1","XLOC_000963","MRPS6",704501,8,19,36,93
"1","XLOC_000963","MRPS6",704558,7,9,24,87
"1","XLOC_000963","MRPS6",705397,2,1,5,13
"1","XLOC_000963","MRPS6",705578,13,13,33,89
"1","XLOC_000963","MRPS6",705855,6,4,17,62
"1","XLOC_000963","MRPS6",705968,11,14,22,78
"1","XLOC_000963","MRPS6",707244,4,9,15,50
"1","XLOC_000963","MRPS6",707275,3,6,17,41
"1","XLOC_000963","MRPS6",708119,12,8,19,79
"1","XLOC_000963","MRPS6",708304,0,13,4,33
"1","XLOC_000963","MRPS6",708355,2,10,5,37
"1","XLOC_000963","MRPS6",708364,2,8,7,31
"1","XLOC_000963","MRPS6",708954,9,8,16,69
"1","XLOC_000963","MRPS6",709151,3,3,16,55
"1","XLOC_000963","MRPS6",709892,19,21,32,64
"1","XLOC_000963","MRPS6",710093,20,12,28,88
"1","XLOC_000963","MRPS6",710498,9,15,22,94
"1","XLOC_000964","ITSN1",935967,13,17,NA,30
"1","XLOC_000964","ITSN1",937396,32,32,NA,29
"1","XLOC_000964","ITSN1",940793,37,NA,33,NA
"1","XLOC_000964","ITSN1",944220,4,11,18,24
"1","XLOC_000964","ITSN1",948299,22,NA,29,33
"1","XLOC_000964","ITSN1",948305,19,NA,31,36
"1","XLOC_000964","ITSN1",950774,10,3,15,26
"1","XLOC_000964","ITSN1",951873,19,20,38,27
"1","XLOC_000964","ITSN1",954066,6,4,21,26
"1","XLOC_000964","ITSN1",958065,2,1,4,NA
"1","XLOC_000964","ITSN1",958125,14,16,27,18
"1","XLOC_000964","ITSN1",997489,3,8,9,8
"1","XLOC_000964","ITSN1",998410,7,5,7,10
"1","XLOC_000964","ITSN1",1022608,1,3,14,15
"1","XLOC_000964","ITSN1",1089173,8,11,19,27
"1","XLOC_000964","ITSN1",1114143,13,14,18,36
"1","XLOC_000326","CRYZL1,DONSON",1214806,1,0,3,3
"1","XLOC_000326","CRYZL1,DONSON",1215115,1,5,12,4
"1","XLOC_000326","CRYZL1,DONSON",1216306,2,1,6,2
"1","XLOC_000326","CRYZL1,DONSON",1221542,1,3,3,2
"1","XLOC_000326","CRYZL1,DONSON",1222946,5,4,NA,9
"1","XLOC_000326","CRYZL1,DONSON",1226934,25,28,54,36
"1","XLOC_000326","CRYZL1,DONSON",1233542,25,21,36,23
"1","XLOC_000965","SON",1239588,8,NA,19,NA
"1","XLOC_000965","SON",1253819,98,NA,132,NA
"1","XLOC_000965","SON",1253984,29,41,125,93
"1","XLOC_000965","SON",1254284,44,63,246,126
"1","XLOC_000965","SON",1254533,32,49,118,104
"1","XLOC_000965","SON",1254885,26,25,131,73
"1","XLOC_000965","SON",1254918,34,37,123,82
"1","XLOC_000965","SON",1255146,64,61,165,104
"1","XLOC_000327","GART",1274831,30,NA,NA,NA
"1","XLOC_000327","GART",1283152,6,19,39,40
"1","XLOC_000327","GART",1287657,23,39,35,55
"1","XLOC_000327","GART",1289881,4,8,47,30
"1","XLOC_000327","GART",1289971,19,19,46,34
"1","XLOC_000327","GART",1290761,1,1,2,5
"1","XLOC_000327","GART",1291694,18,NA,25,NA
"1","XLOC_000328","LOC784988",1309357,5,11,15,5
"1","XLOC_000328","LOC784988",1309569,3,3,NA,10
"1","XLOC_000328","LOC784988",1309847,3,7,12,9
"1","XLOC_000328","LOC784988",1309933,1,8,NA,4
"1","XLOC_000328","LOC784988",1310121,0,5,NA,3
"1","XLOC_000328","LOC784988",1310508,2,1,8,5
"1","XLOC_000328","LOC784988",1310557,2,1,18,2
"1","XLOC_000328","LOC784988",1310891,0,1,NA,0
"1","XLOC_000329","TMEM50B",1343061,23,NA,23,NA
"1","XLOC_000329","TMEM50B",1356444,29,61,36,53
"1","XLOC_000329","TMEM50B",1359951,8,22,49,21
"1","XLOC_000329","TMEM50B",1360089,2,10,17,12
"1","XLOC_000329","TMEM50B",1360228,13,35,47,42
"1","XLOC_000329","TMEM50B",1360310,69,97,59,57
"1","XLOC_000329","TMEM50B",1360546,9,25,47,41
"1","XLOC_000329","TMEM50B",1360585,15,22,45,49
"1","XLOC_000329","TMEM50B",1360639,46,62,79,75
"1","XLOC_000329","TMEM50B",1360677,56,83,86,78
"1","XLOC_000329","TMEM50B",1360745,31,61,54,50
"1","XLOC_000329","TMEM50B",1360811,12,21,20,20
"1","XLOC_000329","TMEM50B",1360819,7,10,13,15
"1","XLOC_000329","TMEM50B",1360849,0,2,NA,2
"1","XLOC_000329","TMEM50B",1360857,0,0,7,2
"1","XLOC_000329","TMEM50B",1360882,5,12,23,17
"1","XLOC_000329","TMEM50B",1361281,34,45,36,39
