"Chromosome","GeneID","Gene_name","Position","M1","M2","M3","M4"
"1","XLOC_000955","CLIC6",123620,1,1,2,4
"1","XLOC_000955","CLIC6",123906,1,NA,NA,1
"1","XLOC_000955","CLIC6",124021,0,NA,NA,NA
"1","XLOC_000955","CLIC6",124223,1,NA,0,2
"1","XLOC_000955","CLIC6",135862,1,NA,2,4
"1","XLOC_000955","CLIC6",135961,5,5,1,2
"1","XLOC_000955","CLIC6",137920,2,NA,0,0
"1","XLOC_000955","CLIC6",178734,1,NA,NA,4
"1","XLOC_000955","CLIC6",178833,1,NA,NA,NA
"1","XLOC_000955","CLIC6",178921,0,0,NA,NA
"1","XLOC_000955","CLIC6",179789,2,1,1,1
"1","XLOC_000320","RCAN1",362525,24,22,NA,31
"1","XLOC_000960","FAM165B",463616,25,10,42,23
"1","XLOC_000960","FAM165B",466250,0,27,NA,60
"1","XLOC_000960","FAM165B",466306,49,36,NA,68
"1","XLOC_000960","FAM165B",472805,14,10,8,9
"1","XLOC_000963","MRPS6",686950,4,NA,0,1
"1","XLOC_000963","MRPS6",686954,5,NA,0,1
"1","XLOC_000963","MRPS6",687363,1,2,5,4
"1","XLOC_000963","MRPS6",687404,0,NA,NA,NA
"1","XLOC_000963","MRPS6",687602,2,2,3,4
"1","XLOC_000963","MRPS6",688957,0,NA,NA,NA
"1","XLOC_000963","MRPS6",689562,0,1,2,1
"1","XLOC_000963","MRPS6",690544,1,NA,NA,NA
"1","XLOC_000963","MRPS6",691488,0,0,1,NA
"1","XLOC_000963","MRPS6",694174,2,1,NA,0
"1","XLOC_000963","MRPS6",694437,1,NA,NA,NA
"1","XLOC_000963","MRPS6",694451,1,NA,NA,NA
"1","XLOC_000963","MRPS6",696287,1,0,NA,1
"1","XLOC_000963","MRPS6",698067,0,0,NA,NA
"1","XLOC_000963","MRPS6",700582,2,NA,1,1
"1","XLOC_000963","MRPS6",700848,15,8,18,18
"1","XLOC_000963","MRPS6",700889,20,4,27,17
"1","XLOC_000963","MRPS6",701330,36,33,41,37
"1","XLOC_000963","MRPS6",701388,20,14,28,26
"1","XLOC_000963","MRPS6",701771,12,NA,NA,NA
"1","XLOC_000963","MRPS6",702336,27,13,43,38
"1","XLOC_000963","MRPS6",703020,8,NA,NA,NA
"1","XLOC_000963","MRPS6",703448,20,12,23,23
"1","XLOC_000963","MRPS6",703970,18,21,12,18
"1","XLOC_000963","MRPS6",704501,13,12,12,16
"1","XLOC_000963","MRPS6",704558,8,17,12,12
"1","XLOC_000963","MRPS6",705578,21,7,18,16
"1","XLOC_000963","MRPS6",705852,4,NA,NA,NA
"1","XLOC_000963","MRPS6",705855,5,6,12,10
"1","XLOC_000963","MRPS6",705968,18,7,5,23
"1","XLOC_000963","MRPS6",707244,6,7,9,8
"1","XLOC_000963","MRPS6",707275,5,7,5,6
"1","XLOC_000963","MRPS6",708119,7,5,3,6
"1","XLOC_000963","MRPS6",708304,5,3,10,6
"1","XLOC_000963","MRPS6",708355,5,7,8,9
"1","XLOC_000963","MRPS6",708954,7,2,8,7
"1","XLOC_000963","MRPS6",709151,3,10,4,5
"1","XLOC_000963","MRPS6",709892,4,8,6,8
"1","XLOC_000963","MRPS6",709964,13,NA,NA,NA
"1","XLOC_000963","MRPS6",710093,8,7,6,8
"1","XLOC_000963","MRPS6",710498,6,4,4,3
"1","XLOC_000964","ITSN1",934357,26,NA,NA,40
"1","XLOC_000964","ITSN1",936231,20,NA,NA,NA
"1","XLOC_000964","ITSN1",938319,7,NA,NA,12
"1","XLOC_000964","ITSN1",940793,13,NA,NA,NA
"1","XLOC_000964","ITSN1",940890,20,NA,NA,17
"1","XLOC_000964","ITSN1",943356,5,NA,NA,NA
"1","XLOC_000964","ITSN1",944220,6,4,5,9
"1","XLOC_000964","ITSN1",950774,12,9,7,5
"1","XLOC_000964","ITSN1",951873,12,5,6,16
"1","XLOC_000964","ITSN1",954066,13,6,7,11
"1","XLOC_000964","ITSN1",958125,14,2,12,8
"1","XLOC_000964","ITSN1",997489,9,5,13,14
"1","XLOC_000964","ITSN1",998410,5,3,6,9
"1","XLOC_000964","ITSN1",1022608,3,3,4,2
"1","XLOC_000964","ITSN1",1089173,10,6,1,3
"1","XLOC_000326","CRYZL1,DONSON",1214806,0,0,NA,0
"1","XLOC_000326","CRYZL1,DONSON",1214842,0,NA,NA,NA
"1","XLOC_000326","CRYZL1,DONSON",1215115,0,2,NA,1
"1","XLOC_000326","CRYZL1,DONSON",1216306,1,0,1,1
"1","XLOC_000326","CRYZL1,DONSON",1221542,2,1,3,3
"1","XLOC_000965","SON",1239588,4,NA,NA,NA
"1","XLOC_000965","SON",1253742,0,NA,NA,NA
"1","XLOC_000965","SON",1253819,57,NA,NA,NA
"1","XLOC_000965","SON",1254533,50,29,56,66
"1","XLOC_000327","GART",1290761,1,NA,1,2
"1","XLOC_000327","GART",1291694,20,NA,NA,NA
"1","XLOC_000329","TMEM50B",1343061,15,NA,NA,NA
"1","XLOC_000329","TMEM50B",1356444,44,16,52,54
"1","XLOC_000329","TMEM50B",1360089,11,8,17,18
"1","XLOC_000329","TMEM50B",1360228,15,16,49,31
"1","XLOC_000329","TMEM50B",1360310,49,19,73,81
"1","XLOC_000329","TMEM50B",1360546,14,14,33,29
"1","XLOC_000329","TMEM50B",1360585,18,29,36,35
"1","XLOC_000329","TMEM50B",1360639,49,13,57,40
"1","XLOC_000329","TMEM50B",1360677,67,24,96,71
"1","XLOC_000329","TMEM50B",1360745,46,16,84,56
"1","XLOC_000329","TMEM50B",1360811,46,11,74,75
"1","XLOC_000329","TMEM50B",1360819,49,9,78,79
"1","XLOC_000329","TMEM50B",1360882,47,14,70,57
"1","XLOC_000329","TMEM50B",1361281,38,10,58,47
"1","XLOC_001584","No_Associated_Gene_Name",1371130,0,NA,NA,NA
"1","XLOC_001584","No_Associated_Gene_Name",1371154,0,NA,NA,NA
"1","XLOC_001584","No_Associated_Gene_Name",1373433,1,NA,0,NA
"1","XLOC_000967","IFNGR2",1373612,1,NA,NA,NA
"1","XLOC_000967","IFNGR2",1373758,7,NA,NA,NA
"1","XLOC_000967","IFNGR2",1374408,2,NA,NA,NA
"1","XLOC_000967","IFNGR2",1374926,3,NA,NA,NA
"1","XLOC_000967","IFNGR2",1375775,2,NA,NA,NA
"1","XLOC_000967","IFNGR2",1376843,68,NA,0,NA
"1","XLOC_000967","IFNGR2",1376884,37,18,34,31
"1","XLOC_000967","IFNGR2",1380918,43,28,69,62
"1","XLOC_000967","IFNGR2",1380919,43,28,69,62
"1","XLOC_000968","IFNAR1",1466011,4,3,5,7
"1","XLOC_000968","IFNAR1",1466037,6,7,5,10
"1","XLOC_000968","IFNAR1",1466632,1,0,2,NA
"1","XLOC_000968","IFNAR1",1466737,5,NA,NA,NA
"1","XLOC_000968","IFNAR1",1467257,12,NA,NA,NA
"1","XLOC_000968","IFNAR1",1468721,8,NA,NA,NA
"1","XLOC_000968","IFNAR1",1471263,8,NA,NA,NA
"1","XLOC_000968","IFNAR1",1498604,1,NA,NA,NA
